2026-03-15 17:08:19 | WARNING  | libtorrent not installed – download panel will be disabled
2026-03-15 17:08:19 | INFO     | Loaded 0 entries from download history
2026-03-15 17:08:19 | INFO     | Applied theme: purple
2026-03-15 17:08:19 | INFO     | NovaPlay started
2026-03-15 17:08:20 | INFO     | Library scan complete – 2 root(s) loaded
2026-03-15 17:08:57 | INFO     | File selected: /home/aryan-bodhe/Desktop/Aryan/Movies/Hindi/2.States.2014.1080p.BluRay.Hindi.DD.5.1.x264.ESubs.mkv
2026-03-15 17:08:57 | INFO     | Playing: 2.States.2014.1080p.BluRay.Hindi.DD.5.1.x264.ESubs.mkv (resume=0ms)
2026-03-15 17:09:08 | INFO     | File selected: /home/aryan-bodhe/Desktop/Aryan/Movies/Hindi/Article 370 (2024) Hindi 1080p HDRip x264 AAC 5.1 ESubs  [2.9GB] - QRips.mkv
2026-03-15 17:09:08 | INFO     | Playing: Article 370 (2024) Hindi 1080p HDRip x264 AAC 5.1 ESubs  [2.9GB] - QRips.mkv (resume=0ms)
2026-03-15 17:09:12 | INFO     | File selected: /home/aryan-bodhe/Desktop/Aryan/Movies/Hindi/Ae.Dil.Hai.Mushkil.2016.1080p.Bluray.Hindi.5.1.x264.ESub.mkv
2026-03-15 17:09:12 | INFO     | Playing: Ae.Dil.Hai.Mushkil.2016.1080p.Bluray.Hindi.5.1.x264.ESub.mkv (resume=0ms)
2026-03-15 17:09:13 | INFO     | File selected: /home/aryan-bodhe/Desktop/Aryan/Movies/Hindi/2.States.2014.1080p.BluRay.Hindi.DD.5.1.x264.ESubs.mkv
2026-03-15 17:09:13 | INFO     | Playing: 2.States.2014.1080p.BluRay.Hindi.DD.5.1.x264.ESubs.mkv (resume=0ms)
2026-03-15 17:10:12 | INFO     | File selected: /home/aryan-bodhe/Desktop/Aryan/Movies/Hindi/Dhurandhar.2025.1080p.Hindi.DS4K.WEB-DL.5.1.ESub.x264-HDHub4u.Ms.mkv
2026-03-15 17:10:12 | INFO     | Playing: Dhurandhar.2025.1080p.Hindi.DS4K.WEB-DL.5.1.ESub.x264-HDHub4u.Ms.mkv (resume=0ms)
2026-03-15 17:12:26 | INFO     | NovaPlay exiting
2026-03-15 17:29:28 | INFO     | Loaded 0 entries from download history
2026-03-15 17:29:28 | INFO     | TorrentEngine started (save_path=/home/aryan-bodhe/Downloads/NovaPlay)
2026-03-15 17:29:28 | INFO     | Applied theme: purple
2026-03-15 17:29:28 | INFO     | NovaPlay started
2026-03-15 17:29:28 | INFO     | Library scan complete – 2 root(s) loaded
